波 BA
階 GIAI
友 HỮU
苦 KHỔ
幅 PHÚC
劇 KỊCH
司 TI
周 CHU
走 TẨU
未 VỊ
拡 KHUẾCH
週 CHU
従 TÙNG
採 THẢI
否 PHỦ
織 CHỨC
舞 VŨ
写 TẢ
抜 BẠT
色 SẮC
療 LIỆU
突 ĐỘT
余 DƯ
火 HỎA
越 VIỆT
攻 CÔNG
歴 LỊCH
完 HOÀN
破 PHÁ
休 HƯU
船 THUYỀN
危 NGUY
債 TRÁI
航 HÀNG
冷 LÃNH
廃 PHẾ
盟 MINH
庫 KHỐ
皇 HOÀNG
占 CHIÊM
将 TƯỚNG
捜 SƯU
厳 NGHIÊM
及 CẬP
紀 KỈ
故 CỐ
装 TRANG
就 TỰU
塁 LŨY
素 TỐ
竹 TRÚC
異 DỊ
薬 DƯỢC
札 TRÁT
盛 THỊNH
延 DUYÊN
馬 MÃ
遺 DI
級 CẤP
父 PHỤ
降 GIÁNG
王 VƯƠNG
講 GIẢNG
維 DUY
顔 NHAN
均 QUÂN
玉 NGỌC
油 DU
喜 HỈ
類 LOẠI
等 ĐẲNG
芸 NGHỆ
覚 GIÁC
静 TĨNH
習 TẬP
標 TIÊU
般 BÀN
夏 HẠ
永 VĨNH
興 HƯNG
羽 VŨ
博 BÁC
迎 NGHÊNH
禁 CẤM
短 ĐOẢN
彼 BỈ
曲 KHÚC
伸 THÂN
継 KẾ
圧 ÁP
績 TÍCH
頼 LẠI
僚 LIÊU
厚 HẬU
替 THẾ
背 BỐI
逆 NGHỊCH
岩 NHAM
陸 LỤC
印 ẤN
熱 NHIỆT
香 HƯƠNG
角 GIÁC
毎 MỖI
豊 PHONG
輪 LUÂN
留 LƯU
順 THUẬN
辞 TỪ
便 TIỆN
散 TÁN
締 ĐẾ
妻 THÊ
因 NHÂN
津 TÂN
途 ĐỒ
罪 TỘI
則 TẮC
諸 CHƯ
志 CHÍ
源 NGUYÊN
湾 LOAN
踏 ĐẠP
払 PHẤT
幸 HẠNH
許 HỨA
略 LƯỢC
固 CỐ
賛 TÁN
星 TINH
執 CHẤP
善 THIỆN
版 BẢN
精 TINH
亡 VONG
植 THỰC
崩 BĂNG
戻 LỆ
層 TẦNG
聴 THÍNH
適 THÍCH
属 THUỘC
震 CHẤN
宿 TÚC
押 ÁP
脱 THOÁT
欠 KHIẾM
尾 VĨ
逮 ĐÃI
昭 CHIÊU
囲 VI
婚 HÔN
旅 LỮ
倍 BỘI
迫 BÁCH
浦 PHỔ
闘 ĐẤU
池 TRÌ
像 TƯỢNG
貨 HÓA
削 TƯỚC
寺 TỰ
坂 PHẢN
壊 HOẠI
乱 LOẠN
帯 ĐỚI
岸 NGẠN
遣 KHIỂN
緊 KHẨN
努 NỖ
練 LUYỆN
康 KHANG
遅 TRÌ
棄 KHÍ
刑 HÌNH
宣 TUYÊN
